Age,Gender,Marital_Status,Family_Members,Education,Occupation,Job_Title,Income,Current_Product,Current_Product_Type,Current_Coverage,New_Product_Type,New_Coverage,Rating,target
29.0,F,Married,2.0,UHS,SPT,DD,1.269382835,No,NO,0.0,ANS,1000000.0,Cold,0
59.0,F,Divorced,2.0,MD,SPT,PG,9.756949723,Yes,TLE,4000000.0,ANS,2000000.0,Warm,1
39.0,M,Divorced,5.0,UHS,SE,OT,2.81965889,No,NO,0.0,TLE,2000000.0,Cold,0
51.0,M,Married,4.0,BD,SE,FH,2.265384289,No,NO,0.0,ANS,2000000.0,Cold,0
30.0,F,Single,2.0,LHS,SFT,DD,1.290396639,No,NO,0.0,PMT,1000000.0,Cold,0
49.0,F,Married,9.0,BD,SPT,BA,7.535338105,Yes,TLE,3000000.0,INV,2000000.0,Warm,1
30.0,F,Married,6.0,UHS,SE,CB,1.322223849,Yes,INV,15000000.0,END,1000000.0,Cold,0
44.0,M,Single,7.0,PD,SPT,PR,6.349267841,Yes,ANS,2000000.0,TLE,15000000.0,Warm,0
59.0,M,Married,2.0,MD,SPT,BA,7.386565658,Yes,ANS,1000000.0,INV,4000000.0,Warm,1
44.0,F,Married,10.0,PD,SPT,RR,9.747536403,No,NO,0.0,ANS,5000000.0,Warm,1
47.0,F,Divorced,1.0,BD,SE,PG,10.0,Yes,ANS,15000000.0,INV,4000000.0,Warm,1
25.0,M,Married,10.0,BD,SE,FH,2.248143624,Yes,END,50000.0,INV,1000000.0,Warm,0
45.0,M,Married,5.0,BD,SE,FH,2.60356137,Yes,ANS,1000000.0,TLE,1000000.0,Cold,0
21.0,M,Single,3.0,UHS,SPT,DD,1.0,No,NO,0.0,PMT,1000000.0,Cold,0
40.0,M,Married,4.0,PD,SE,PG,9.888444745,Yes,ANS,15000000.0,TLE,4000000.0,Hot,1
44.0,M,Married,9.0,MD,SE,FH,2.580750431,No,NO,0.0,ANS,1000000.0,Cold,0
41.0,M,Married,8.0,PD,SPT,PG,9.44184487,Yes,ANS,50000.0,INV,1000000.0,Warm,1
43.0,F,Married,10.0,PD,SE,PG,9.82450673,Yes,INV,15000000.0,ANS,4000000.0,Warm,1
24.0,M,Married,10.0,BD,SE,FH,1.5,No,NO,0.0,INV,1000000.0,Cold,0
47.0,M,Divorced,4.0,PD,SPT,RR,9.823240825,Yes,INV,4000000.0,ANS,15000000.0,Warm,0
24.0,M,Married,2.0,NE,SPT,CB,1.297003973,Yes,END,15000000.0,PMT,1000000.0,Cold,0
41.0,F,Married,3.0,BD,SE,FH,2.424468272,Yes,TLE,3000000.0,ANS,2000000.0,Cold,0
33.0,F,Married,5.0,BD,SPT,BA,5.0,Yes,ANS,2000000.0,END,15000000.0,Hot,1
48.0,M,Married,5.0,LHS,SE,OT,3.021825278,Yes,TLE,3000000.0,ANS,3000000.0,Cold,0
20.0,M,Single,7.0,NE,SPT,OM,2.049002422,No,NO,0.0,INV,2000000.0,Warm,1
41.0,M,Married,9.0,BD,SE,FH,1.774055592,No,NO,0.0,TLE,1000000.0,Cold,1
45.0,M,Married,10.0,UHS,SE,OT,2.682006995,No,NO,0.0,ANS,2000000.0,Cold,0
21.0,F,Single,3.0,NE,SPT,OM,2.042370132,No,NO,0.0,PMT,2000000.0,Warm,0
26.0,M,Single,6.0,PD,SPT,PG,9.226008479,Yes,END,2000000.0,ANS,4000000.0,Hot,1
31.0,F,Married,8.0,BD,SPT,PG,9.17116014,Yes,END,50000.0,ANS,2000000.0,Hot,1
48.0,F,Divorced,1.0,LHS,SFT,OC,7.0,Yes,TLE,3000000.0,ANS,4000000.0,Warm,0
47.0,F,Divorced,1.0,BD,SPT,PR,7.011789437,Yes,INV,3000000.0,ANS,15000000.0,Warm,1
45.0,F,Married,7.0,LHS,SE,DD,1.701688062,No,NO,0.0,ANS,1000000.0,Cold,0
46.0,F,Married,5.0,MD,SE,FH,2.241317577,No,NO,0.0,TLE,15000000.0,Cold,0
29.0,M,Single,3.0,BD,SPT,PG,9.321008525,No,NO,0.0,INV,1000000.0,Hot,1
35.0,M,Married,3.0,MD,SE,PG,9.416113679,Yes,ANS,50000.0,TLE,3000000.0,Hot,1
47.0,F,Single,9.0,BD,SPT,RR,9.823281696,No,NO,0.0,ANS,3000000.0,Warm,1
39.0,F,Married,2.0,BD,SPT,BA,7.09305262,Yes,ANS,15000000.0,INV,4000000.0,Hot,1
32.0,M,Divorced,4.0,BD,SE,FH,1.66475172,No,NO,0.0,END,1000000.0,Cold,0
54.0,M,Divorced,1.0,UHS,SE,OM,2.940839253,Yes,PMT,1000000.0,TLE,1000000.0,Cold,0
33.0,M,Divorced,1.0,PD,SPT,PG,9.239915542,Yes,ANS,3000000.0,INV,5000000.0,Hot,1
28.0,M,Single,6.0,MD,SE,FH,1.868096755,No,NO,0.0,END,15000000.0,Cold,0
60.0,M,Married,5.0,PD,SE,PG,9.718405954,Yes,ANS,3000000.0,TLE,5000000.0,Warm,1
51.0,F,Married,3.0,MD,SPT,BA,6.70975457,Yes,ANS,4000000.0,TLE,5000000.0,Warm,0
26.0,F,Divorced,2.0,LHS,SFT,OM,2.299173784,Yes,INV,50000.0,END,1000000.0,Warm,0
53.0,M,Married,2.0,UHS,SPT,OC,7.0,Yes,ANS,2000000.0,TLE,4000000.0,Warm,1
28.0,F,Married,5.0,PD,SE,FH,1.84871233,Yes,INV,3000000.0,TLE,15000000.0,Cold,0
36.0,M,Married,5.0,PD,SE,FH,2.176421318,No,NO,0.0,ANS,15000000.0,Cold,1
20.0,M,Single,6.0,NE,SE,CB,1.101884582,No,NO,0.0,ANS,15000000.0,Cold,0
57.0,F,Married,2.0,PD,SE,FH,3.0,Yes,ANS,50000.0,TLE,2000000.0,Cold,0
21.0,F,Single,5.0,NE,SPT,DD,1.281646757,No,NO,0.0,END,1000000.0,Cold,0
43.0,M,Divorced,2.0,MD,SE,FH,2.20524731,Yes,ANS,15000000.0,TLE,15000000.0,Cold,0
45.0,M,Married,9.0,MD,SE,FH,2.744540448,Yes,TLE,2000000.0,ANS,15000000.0,Cold,0
41.0,M,Married,10.0,MD,SPT,BA,6.375896127,Yes,PMT,3000000.0,TLE,2000000.0,Warm,0
27.0,M,Single,3.0,MD,SE,FH,1.870271662,No,NO,0.0,ANS,2000000.0,Cold,0
59.0,F,Married,4.0,BD,SPT,BA,7.842152266,Yes,INV,3000000.0,TLE,5000000.0,Warm,0
40.0,M,Married,6.0,BD,SE,PG,9.496987365,Yes,ANS,3000000.0,INV,5000000.0,Hot,1
30.0,F,Single,6.0,BD,SPT,PG,9.446467785,No,NO,0.0,END,5000000.0,Hot,0
40.0,M,Married,6.0,BD,SPT,PG,9.333925981,Yes,ANS,4000000.0,TLE,2000000.0,Warm,1
26.0,F,Married,2.0,BD,SPT,PG,9.080362826,No,NO,0.0,END,1000000.0,Hot,1
25.0,F,Married,6.0,PD,SPT,BA,6.093923277,No,NO,0.0,END,5000000.0,Hot,1
46.0,F,Married,8.0,UHS,SPT,OM,3.107689614,Yes,TLE,3000000.0,PMT,15000000.0,Cold,0
37.0,M,Divorced,3.0,BD,SE,FH,2.171575641,Yes,ANS,15000000.0,TLE,2000000.0,Cold,0
57.0,F,Divorced,3.0,MD,SPT,BA,7.672390106,Yes,TLE,3000000.0,INV,15000000.0,Warm,1
58.0,F,Divorced,7.0,BD,SPT,PG,10.0,Yes,INV,15000000.0,ANS,15000000.0,Warm,0
50.0,M,Married,5.0,BD,SE,PG,9.65311201,No,NO,0.0,ANS,5000000.0,Warm,1
18.0,M,Married,3.0,NE,SPT,DD,1.236353248,No,NO,0.0,INV,1000000.0,Cold,1
47.0,M,Married,4.0,PD,SPT,PG,9.754507602,Yes,INV,1000000.0,TLE,3000000.0,Warm,1
58.0,M,Married,7.0,PD,SPT,PR,8.0,No,NO,0.0,TLE,4000000.0,Warm,1
57.0,M,Married,6.0,PD,SE,FH,2.915190844,Yes,TLE,15000000.0,ANS,1000000.0,Cold,0
30.0,M,Married,4.0,LHS,SFT,DD,1.084259909,No,NO,0.0,PMT,1000000.0,Cold,0
40.0,F,Single,3.0,UHS,SE,OT,3.115510229,Yes,TLE,1000000.0,ANS,2000000.0,Cold,0
53.0,M,Divorced,1.0,BD,SE,FH,2.908668206,Yes,TLE,4000000.0,ANS,15000000.0,Cold,0
33.0,F,Married,3.0,LHS,SFT,OM,2.780302895,No,NO,0.0,END,15000000.0,Cold,0
55.0,F,Married,6.0,MD,SPT,PG,9.775311978,Yes,TLE,50000.0,PMT,15000000.0,Warm,0
22.0,M,Single,5.0,BD,SE,FH,1.5,No,NO,0.0,INV,15000000.0,Cold,0
28.0,F,Married,3.0,BD,SE,PG,9.191845085,Yes,INV,3000000.0,END,2000000.0,Hot,1
46.0,M,Divorced,4.0,LHS,SE,OM,2.628323003,No,NO,0.0,TLE,2000000.0,Cold,0
37.0,M,Married,6.0,MD,SPT,PR,6.432638731,No,NO,0.0,TLE,5000000.0,Hot,1
48.0,M,Married,5.0,BD,SE,FH,2.457341792,Yes,TLE,50000.0,ANS,2000000.0,Cold,0
27.0,M,Single,8.0,PD,SPT,BA,5.683913994,Yes,INV,1000000.0,END,15000000.0,Hot,1
23.0,M,Divorced,1.0,PD,SE,FH,2.050061019,No,NO,0.0,INV,1000000.0,Warm,0
37.0,F,Married,3.0,PD,SE,FH,2.199513696,No,NO,0.0,ANS,1000000.0,Cold,0
20.0,M,Single,8.0,NE,SPT,OC,4.0,No,NO,0.0,ANS,4000000.0,Hot,1
39.0,M,Divorced,7.0,LHS,SE,DD,1.512499949,Yes,PMT,15000000.0,TLE,15000000.0,Cold,0
31.0,M,Married,4.0,BD,SPT,PG,9.266409927,Yes,END,4000000.0,INV,5000000.0,Hot,1
33.0,F,Married,3.0,MD,SPT,BA,6.448233432,Yes,ANS,3000000.0,PMT,1000000.0,Hot,1
51.0,F,Married,3.0,LHS,SE,OT,3.150273237,Yes,TLE,3000000.0,ANS,15000000.0,Cold,0
53.0,M,Married,6.0,MD,SE,FH,2.146098842,No,NO,0.0,ANS,1000000.0,Cold,0
37.0,F,Single,1.0,BD,SPT,BA,5.249808829,No,NO,0.0,PMT,15000000.0,Hot,1
19.0,M,Single,2.0,LHS,SFT,DD,1.212002227,Yes,TLE,4000000.0,INV,15000000.0,Cold,0
24.0,F,Married,6.0,MD,SPT,PG,9.049211931,No,NO,0.0,TLE,15000000.0,Hot,1
52.0,M,Married,4.0,LHS,SE,OT,3.258105062,Yes,TLE,15000000.0,ANS,3000000.0,Cold,0
47.0,M,Divorced,5.0,BD,SPT,RR,10.0,No,NO,0.0,ANS,15000000.0,Warm,1
54.0,M,Married,2.0,MD,SPT,BA,7.301400705,Yes,TLE,2000000.0,INV,15000000.0,Warm,1
48.0,F,Single,1.0,BD,SPT,BA,7.081690109,Yes,PMT,4000000.0,INV,1000000.0,Warm,1
40.0,M,Married,6.0,PD,SPT,RR,9.436711025,Yes,ANS,3000000.0,INV,1000000.0,Warm,1
23.0,F,Single,1.0,MD,SE,FH,1.5,Yes,INV,50000.0,END,15000000.0,Cold,0
32.0,M,Divorced,4.0,BD,SE,FH,2.091534601,Yes,END,4000000.0,TLE,2000000.0,Cold,0
28.0,M,Single,4.0,BD,SPT,PR,5.08059141,No,NO,0.0,INV,1000000.0,Hot,1
27.0,F,Divorced,3.0,UHS,SPT,CB,1.204979971,No,NO,0.0,TLE,15000000.0,Cold,0
25.0,F,Married,4.0,MD,SPT,PG,9.199631686,Yes,ANS,1000000.0,INV,3000000.0,Hot,1
34.0,M,Married,4.0,LHS,SFT,DD,1.424631764,Yes,INV,50000.0,TLE,15000000.0,Cold,0
34.0,M,Divorced,2.0,MD,SPT,BA,5.695882828,Yes,INV,4000000.0,PMT,15000000.0,Hot,0
19.0,F,Married,3.0,UHS,SPT,CB,1.053036609,No,NO,0.0,END,1000000.0,Cold,0
39.0,F,Married,9.0,LHS,SFT,OT,2.737536361,No,NO,0.0,ANS,1000000.0,Cold,0
31.0,M,Married,2.0,UHS,SE,OT,2.686261988,No,NO,0.0,INV,1000000.0,Cold,0
59.0,F,Divorced,3.0,LHS,SE,DD,1.911190657,No,NO,0.0,PMT,1000000.0,Cold,0
33.0,M,Single,2.0,BD,SE,FH,1.5,Yes,ANS,2000000.0,INV,2000000.0,Cold,0
56.0,M,Married,9.0,MD,SPT,RR,10.0,Yes,ANS,15000000.0,INV,3000000.0,Warm,0
41.0,M,Married,7.0,PD,SPT,PR,5.949453729,Yes,TLE,1000000.0,ANS,5000000.0,Warm,0
43.0,F,Married,4.0,MD,SE,FH,2.149225421,Yes,TLE,15000000.0,ANS,2000000.0,Cold,0
50.0,F,Divorced,10.0,LHS,SFT,OM,3.283094343,No,NO,0.0,PMT,2000000.0,Cold,1
37.0,M,Married,2.0,PD,SE,FH,1.620238742,No,NO,0.0,TLE,15000000.0,Cold,0
40.0,M,Divorced,5.0,BD,SE,FH,2.480384991,Yes,ANS,50000.0,TLE,1000000.0,Cold,0
18.0,M,Married,2.0,NE,SE,CB,1.126699174,No,NO,0.0,END,1000000.0,Cold,0
23.0,M,Married,9.0,MD,SPT,BA,5.354138256,No,NO,0.0,END,3000000.0,Hot,1
28.0,M,Single,1.0,BD,SE,FH,1.5,No,NO,0.0,END,2000000.0,Cold,0
48.0,F,Single,6.0,MD,SPT,PG,9.755743305,Yes,ANS,15000000.0,INV,5000000.0,Warm,0
26.0,M,Single,5.0,BD,SPT,BA,5.168258771,Yes,ANS,4000000.0,PMT,3000000.0,Hot,1
32.0,M,Married,8.0,UHS,SE,OT,2.987426901,Yes,INV,1000000.0,END,1000000.0,Cold,0
48.0,F,Married,8.0,UHS,SPT,PA,6.450232376,No,NO,0.0,ANS,1000000.0,Warm,1
48.0,M,Married,3.0,BD,SE,FH,2.326218631,Yes,TLE,50000.0,ANS,2000000.0,Cold,0
54.0,F,Married,2.0,MD,SE,FH,2.755516014,No,NO,0.0,ANS,2000000.0,Cold,0
36.0,M,Married,4.0,BD,SPT,RR,9.378026487,Yes,INV,4000000.0,TLE,1000000.0,Hot,1
23.0,M,Single,2.0,PD,SPT,BA,5.747165436,Yes,ANS,1000000.0,PMT,1000000.0,Hot,1
39.0,F,Married,6.0,MD,SE,FH,2.317972971,No,NO,0.0,ANS,1000000.0,Cold,0
50.0,M,Married,4.0,PD,SE,FH,2.338408775,No,NO,0.0,ANS,2000000.0,Cold,0
21.0,M,Single,7.0,NE,SPT,OC,4.069716355,No,NO,0.0,INV,2000000.0,Hot,1
41.0,M,Divorced,3.0,UHS,SE,CF,2.293207213,Yes,ANS,3000000.0,TLE,1000000.0,Cold,1
43.0,M,Married,7.0,BD,SPT,BA,8.0,No,NO,0.0,INV,5000000.0,Warm,1
18.0,M,Single,7.0,NE,SPT,DD,1.054439626,Yes,END,15000000.0,INV,15000000.0,Cold,0
36.0,M,Married,3.0,PD,SPT,RR,9.709068664,Yes,ANS,15000000.0,TLE,1000000.0,Hot,1
46.0,M,Married,5.0,BD,SE,FH,2.423900313,No,NO,0.0,TLE,1000000.0,Cold,0
35.0,F,Single,6.0,BD,SPT,PG,9.343401887,Yes,ANS,2000000.0,INV,1000000.0,Hot,0
58.0,F,Divorced,6.0,MD,SE,FH,3.0,No,NO,0.0,TLE,2000000.0,Cold,0
60.0,F,Divorced,3.0,NE,SE,CF,2.702477087,Yes,TLE,50000.0,ANS,1000000.0,Cold,0
19.0,M,Married,6.0,LHS,SFT,PA,4.174065477,Yes,TLE,1000000.0,ANS,3000000.0,Hot,1
48.0,M,Divorced,6.0,BD,SE,FH,2.70448515,Yes,TLE,2000000.0,ANS,1000000.0,Cold,0
28.0,F,Married,2.0,BD,SE,FH,1.813916245,No,NO,0.0,END,2000000.0,Cold,0
29.0,F,Married,3.0,UHS,SE,OM,2.422801021,Yes,END,3000000.0,INV,3000000.0,Warm,0
41.0,F,Divorced,1.0,PD,SPT,RR,9.286945456,No,NO,0.0,ANS,15000000.0,Warm,0
54.0,M,Divorced,2.0,PD,SE,FH,2.906477873,Yes,TLE,2000000.0,ANS,2000000.0,Cold,1
27.0,M,Married,7.0,PD,SPT,PG,9.0,No,NO,0.0,END,5000000.0,Hot,1
59.0,F,Divorced,1.0,MD,SE,PG,9.76135867,Yes,ANS,50000.0,PMT,15000000.0,Warm,1
23.0,M,Single,6.0,MD,SE,FH,1.740917438,No,NO,0.0,TLE,2000000.0,Cold,0
35.0,M,Single,4.0,BD,SPT,PG,9.101751868,Yes,PMT,15000000.0,INV,15000000.0,Hot,1
58.0,M,Divorced,6.0,MD,SPT,PG,10.0,Yes,ANS,15000000.0,TLE,15000000.0,Warm,0
52.0,M,Married,3.0,PD,SPT,RR,9.75433551,Yes,ANS,2000000.0,INV,4000000.0,Warm,1
21.0,F,Married,6.0,MD,SE,FH,1.5,No,NO,0.0,INV,2000000.0,Cold,0
48.0,F,Married,4.0,LHS,SFT,DD,1.856408755,Yes,PMT,15000000.0,ANS,15000000.0,Cold,0
24.0,F,Married,6.0,BD,SE,FH,1.849551653,No,NO,0.0,ANS,2000000.0,Cold,0
49.0,F,Married,2.0,BD,SPT,PG,9.782448356,No,NO,0.0,INV,1000000.0,Warm,1
52.0,M,Married,5.0,PD,SPT,PG,9.683544088,Yes,INV,15000000.0,ANS,3000000.0,Warm,0
24.0,M,Single,6.0,MD,SE,FH,1.531592804,No,NO,0.0,END,1000000.0,Cold,0
39.0,M,Single,3.0,UHS,SE,DD,1.235558955,Yes,TLE,1000000.0,ANS,1000000.0,Cold,0
51.0,M,Divorced,2.0,UHS,SE,CB,1.750596163,Yes,PMT,2000000.0,ANS,15000000.0,Cold,0
20.0,F,Single,2.0,UHS,SPT,OM,2.470450369,No,NO,0.0,INV,3000000.0,Warm,0
27.0,F,Married,2.0,BD,SPT,RR,9.094092097,Yes,INV,15000000.0,ANS,5000000.0,Hot,1
58.0,F,Married,3.0,PD,SPT,BA,7.835788069,Yes,ANS,50000.0,TLE,2000000.0,Warm,1
29.0,F,Married,5.0,MD,SPT,PR,5.782743726,No,NO,0.0,INV,4000000.0,Hot,1
48.0,M,Married,2.0,BD,SE,FH,3.0,Yes,TLE,50000.0,ANS,1000000.0,Cold,0
35.0,M,Single,5.0,PD,SPT,BA,5.752567469,No,NO,0.0,PMT,4000000.0,Hot,1
34.0,M,Married,6.0,BD,SPT,PG,9.672162253,No,NO,0.0,END,3000000.0,Hot,0
31.0,M,Divorced,2.0,BD,SPT,BA,6.001951187,No,NO,0.0,INV,4000000.0,Hot,1
50.0,F,Married,2.0,LHS,SFT,DD,1.83952186,No,NO,0.0,TLE,1000000.0,Cold,0
30.0,F,Married,4.0,BD,SE,FH,1.904012925,No,NO,0.0,TLE,1000000.0,Cold,0
35.0,F,Married,2.0,BD,SPT,PG,9.518125267,Yes,INV,3000000.0,END,1000000.0,Hot,1
24.0,F,Married,6.0,BD,SE,FH,1.638127958,No,NO,0.0,END,2000000.0,Cold,0
18.0,F,Married,2.0,NE,SPT,PA,4.0,No,NO,0.0,INV,1000000.0,Hot,0
30.0,F,Divorced,4.0,BD,SE,FH,2.362451715,No,NO,0.0,ANS,1000000.0,Warm,0
46.0,M,Married,2.0,LHS,SE,CB,1.778172771,Yes,PMT,1000000.0,ANS,15000000.0,Cold,0
55.0,F,Divorced,4.0,BD,SE,FH,2.526414978,Yes,ANS,3000000.0,TLE,1000000.0,Cold,0
20.0,M,Single,3.0,NE,SE,CF,1.70890967,No,NO,0.0,END,2000000.0,Cold,0
31.0,F,Single,3.0,NE,SE,CB,1.0,Yes,PMT,4000000.0,END,15000000.0,Cold,0
42.0,F,Married,3.0,BD,SE,FH,2.508344393,Yes,TLE,50000.0,ANS,2000000.0,Cold,0
35.0,F,Married,9.0,BD,SPT,PG,9.591147592,No,NO,0.0,INV,3000000.0,Hot,1
35.0,M,Married,6.0,BD,SPT,PG,9.438741428,No,NO,0.0,TLE,15000000.0,Hot,1
52.0,M,Divorced,4.0,PD,SPT,BA,6.900806043,No,NO,0.0,PMT,3000000.0,Warm,1
51.0,F,Single,7.0,BD,SPT,BA,7.335759517,Yes,TLE,15000000.0,ANS,5000000.0,Warm,0
59.0,M,Married,9.0,UHS,SPT,OT,3.311384106,No,NO,0.0,ANS,1000000.0,Cold,0
38.0,F,Divorced,6.0,LHS,SE,CB,1.805278497,Yes,TLE,2000000.0,PMT,15000000.0,Cold,0
40.0,F,Married,8.0,MD,SPT,PG,9.273840079,Yes,ANS,4000000.0,TLE,3000000.0,Hot,1
27.0,M,Married,2.0,BD,SPT,PR,5.645995278,No,NO,0.0,END,15000000.0,Hot,1
42.0,F,Married,10.0,BD,SPT,PR,6.475233109,No,NO,0.0,ANS,1000000.0,Warm,1
53.0,M,Divorced,3.0,BD,SE,FH,3.0,Yes,ANS,15000000.0,TLE,1000000.0,Cold,1
20.0,M,Married,10.0,NE,SE,DD,1.0,No,NO,0.0,END,15000000.0,Cold,0
42.0,M,Married,9.0,BD,SE,PG,9.569488529,Yes,ANS,4000000.0,TLE,2000000.0,Warm,1
24.0,F,Married,6.0,MD,SPT,BA,5.252746175,No,NO,0.0,PMT,3000000.0,Hot,1
31.0,M,Divorced,7.0,NE,SPT,DD,1.081211399,Yes,END,4000000.0,INV,15000000.0,Cold,0
51.0,M,Married,2.0,BD,SFT,DD,1.894828788,Yes,TLE,4000000.0,PMT,1000000.0,Cold,0
43.0,F,Divorced,10.0,MD,SE,FH,2.614585138,Yes,ANS,2000000.0,TLE,15000000.0,Cold,0
23.0,M,Single,1.0,UHS,SPT,OM,2.060866269,No,NO,0.0,END,3000000.0,Warm,0
57.0,M,Divorced,1.0,BD,SPT,PR,7.730809022,Yes,ANS,15000000.0,PMT,1000000.0,Warm,0
40.0,M,Married,2.0,NE,SE,CF,2.439998531,Yes,ANS,3000000.0,TLE,15000000.0,Cold,0
54.0,M,Married,2.0,LHS,SE,CF,2.853634743,Yes,TLE,4000000.0,ANS,15000000.0,Cold,0
48.0,F,Divorced,2.0,UHS,SPT,CB,1.485203253,Yes,ANS,2000000.0,PMT,1000000.0,Cold,0
27.0,F,Divorced,2.0,BD,SPT,BA,5.0,Yes,PMT,50000.0,END,4000000.0,Hot,1
32.0,M,Married,3.0,BD,SPT,RR,9.433006371,No,NO,0.0,END,3000000.0,Hot,1
27.0,F,Married,4.0,UHS,SE,DD,1.309670367,Yes,INV,2000000.0,ANS,1000000.0,Cold,0
41.0,F,Married,2.0,LHS,SFT,DD,1.684116399,Yes,TLE,15000000.0,PMT,1000000.0,Cold,0
24.0,M,Married,9.0,BD,SPT,PG,9.160653637,Yes,END,4000000.0,ANS,15000000.0,Hot,1
26.0,F,Single,2.0,BD,SPT,PG,9.185744839,No,NO,0.0,END,3000000.0,Hot,1
59.0,F,Divorced,1.0,UHS,SPT,OM,3.203293605,Yes,PMT,4000000.0,TLE,3000000.0,Cold,0
31.0,M,Married,3.0,BD,SE,FH,2.144830712,Yes,INV,50000.0,TLE,2000000.0,Cold,0
24.0,M,Single,10.0,PD,SPT,RR,9.339806032,No,NO,0.0,INV,2000000.0,Hot,1
22.0,F,Single,3.0,BD,SPT,PG,9.0,No,NO,0.0,INV,1000000.0,Hot,0
29.0,F,Single,3.0,BD,SE,PG,9.616586961,Yes,ANS,15000000.0,END,1000000.0,Hot,1
